"matched_id","internal_person_id","internal_event_id","inmate_number","full_name","prefix","first_name","middle_name","last_name","suffix","dob","ssn","ssn_hash","ssn_bigrams","fingerprint_id","dmv_number","dmv_state","additional_id_number","additional_id_name","race","ethnicity","sex","hair_color","eye_color","height","weight","street_address","city","state","postal_code","county","country","birth_place","booking_number","jail_entry_date","jail_exit_date","homeless","mental_health","veteran","special_initiative","bond_amount","arresting_agency","bed","cell","block","building","annex","floor","classification","detention","location_type","relocation_date","case_number","source_name","created_date","updated_date","inserted_ts","updated_ts"
11,2820622,77008179,2149452,,,"Barbara",,"Boone",,1982-07-15,"434-85-6093",,,665052,715832,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
12,9601267,48225883,8199186,,,"Betty",,"Osborne",,1982-07-16,"517-29-4705",,,764864,388679,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
13,3207180,58061187,9455792,,,"Brandi",,"Johnson",,1982-07-17,"467-63-6141",,,256597,834646,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
14,98682,73042017,9301244,,,"Brandon",,"Johnson",,1982-07-18,"831-66-7501",,,613978,308053,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
15,4863249,81544581,5607245,,,"Breanna",,"Nicholson",,1982-07-19,"113-12-0029",,,621312,138705,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
16,9332708,79726679,3232029,,,"Brenda",,"Levine",,1982-07-20,"520-61-2016",,,480750,128939,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
16,1544552,63817706,1008417,,,"Brenda",,"Levine",,1982-07-21,"520-61-2016",,,257734,590039,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
17,5292427,10198933,608922,,,"Brian",,"Smith",,1982-07-22,"181-55-3644",,,645799,185994,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
18,3951984,11724592,9491257,,,"Brian",,"Marshall",,1982-07-23,"850-29-7257",,,735323,666781,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
19,6404176,73591031,6018048,,,"Brianna",,"Le",,1982-07-24,"578-89-3765",,,368412,660891,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
20,4255247,27943235,6285860,,,"Brittany",,"Parker",,1982-07-25,"167-89-0619",,,781492,475824,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
21,426671,3591968,7062937,,,"Carlos",,"Watson",,1982-07-26,"375-13-1167",,,451785,941920,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
22,9228441,29510825,5199023,,,"Charles",,"Drake",,1982-07-27,"503-10-8569",,,485454,867128,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
23,7171955,71790382,4918992,,,"Chris",,"Martinez",,1982-07-28,"784-30-8222",,,809111,69060,"FL",,,"black","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
24,3890562,48100058,7934912,,,"Christina",,"Benjamin",,1982-07-29,"754-71-0589",,,20827,351695,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
25,351575,91918946,4195944,,,"Christine",,"Moses",,1982-07-30,"664-08-1671",,,13594,321442,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
26,2864546,98063634,272568,,,"Colleen",,"Friedman",,1982-07-31,"446-29-0272",,,364219,226310,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
27,1608628,68314378,4427560,,,"Corey",,"Valdez",,1982-08-01,"619-30-3495",,,152415,449275,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
27,1282739,55380815,4251017,,,"Corey",,"Valdez",,1982-08-02,"619-30-3495",,,32260,209081,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
28,6702712,20799614,9172439,,,"Cory",,"Wolf",,1982-08-03,"735-64-8457",,,653496,539981,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
29,1511721,87181611,7643435,,,"Daniel",,"Bell",,1982-08-04,"022-91-0441",,,412994,184804,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
30,8803985,444145,4550631,,,"Deborah",,"Moore",,1982-08-05,"765-05-8933",,,848948,650240,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
31,2226980,1361916,7098757,,,"Denise",,"Jacobson",,1982-08-06,"708-02-8537",,,45230,635237,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","Y","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
32,4568705,1423819,6125946,,,"Derek",,"Rose",,1982-08-07,"486-05-0424",,,941776,657447,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
33,3733934,68041353,2793036,,,"Diamond",,"Chambers",,1982-08-08,"350-37-5236",,,737357,63511,"FL",,,"asian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
34,8091414,77162356,5434023,,,"Duane",,"Moore",,1982-08-09,"736-86-2621",,,391006,996789,"FL",,,"asian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
35,3100937,96161585,5280313,,,"Edward",,"Farmer",,1982-08-10,"734-02-0182",,,300189,918155,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
36,277173,78335706,3859471,,,"Erik",,"Anderson",,1982-08-11,"303-25-5406",,,498185,428988,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
37,8764325,45316753,990115,,,"Haley",,"Lester",,1982-08-12,"200-12-2222",,,926206,870337,"FL",,,"white","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
122,1423898,62564366,252164,,,"Jacob",,"Ortiz",,1982-08-13,"687-48-3333",,,745078,306207,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
39,3425775,47445362,2242849,,,"James",,"Young",,1982-08-14,"271-94-2400",,,922826,322550,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
40,8382534,73890297,4785003,,,"James",,"Ho",,1982-08-15,"813-87-3619",,,114366,854413,"FL",,,"black","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
39,8684187,1288549,342335,,,"James",,"Young",,1982-08-16,"271-94-2400",,,374161,655080,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
41,6084443,263838,5408388,,,"Jason",,"Mcgee",,1982-08-17,"302-57-6437",,,491386,503795,"FL",,,"white","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
42,7904129,85188325,979940,,,"Jennifer",,"Rose",,1982-08-18,"050-51-3979",,,501404,786461,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
43,4443722,10861025,4103211,,,"Jennifer",,"Tucker",,1982-08-19,"144-19-7459",,,701357,467104,"FL",,,"black","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
43,5097836,27032257,6596910,,,"Jennifer",,"Tucker",,1982-08-20,"144-19-7459",,,492992,154397,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
44,7906309,97023158,590723,,,"Jodi",,"Hodge",,1982-08-21,"684-98-0208",,,442642,256811,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
45,3961399,12299168,3527087,,,"John",,"Thompson",,1982-08-22,"790-77-6389",,,106108,953561,"FL",,,"asian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
45,2551474,77600754,4866869,,,"John",,"Bradley",,1982-08-23,"035-24-7981",,,632797,807056,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
46,5248594,81925771,902541,,,"Jonathan",,"Shepherd",,1982-08-24,"014-74-6139",,,922163,853364,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
47,5814978,32315783,6440839,,,"Joshua",,"Ward",,1982-08-25,"701-35-1531",,,317224,915813,"FL",,,"asian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
48,7205449,73473831,5425749,,,"Julia",,"Cohen",,1982-08-26,"126-27-5650",,,946285,117595,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
49,3416974,99041462,6524601,,,"Julia",,"Howard",,1982-08-27,"067-94-8289",,,104337,96575,"FL",,,"black","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
50,2021291,90127003,6735700,,,"Kimberly",,"Noble",,1982-08-28,"260-66-4353",,,777223,414065,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
51,5589533,76825683,8619632,,,"Kimberly",,"Johnson",,1982-08-29,"036-73-5242",,,615269,554028,"FL",,,"asian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
52,7243947,41285137,8657506,,,"Krystal",,"Pugh",,1982-08-30,"122-86-5712",,,512920,954733,"FL",,,"black","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
53,6821338,63484912,8057756,,,"Lacey",,"Edwards",,1982-08-31,"400-82-3014",,,197220,102397,"FL",,,"pacisland","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
54,7848166,68519255,4860404,,,"Laura",,"Thomas",,1982-09-01,"480-24-3741",,,585906,642866,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
55,9050707,82176060,9435378,,,"Leah",,"Hughes",,1982-09-02,"295-34-5398",,,940231,34373,"FL",,,"pacisland","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
56,1104528,38700015,7656091,,,"Leonard",,"Adams",,1982-09-03,"750-54-4620",,,753486,604376,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
57,8121751,87972438,4991013,,,"Linda",,"Padilla",,1982-09-04,"100-42-4338",,,937866,411514,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
57,1886001,31526940,4173828,,,"Linda",,"Padilla",,1982-09-05,"100-42-4338",,,427074,882504,"FL",,,"white","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
58,8835120,36735851,4156424,,,"Lori",,"Evans",,1982-09-06,"148-43-2959",,,72886,503292,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
59,9642943,89738179,7280816,,,"Mark",,"Hughes",,1982-09-07,"719-24-6976",,,597850,903901,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
60,8811089,79221217,4111324,,,"Matthew",,"Price",,1982-09-08,"248-22-2644",,,934422,587856,"FL",,,"asian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
61,2308882,44736191,2162624,,,"Matthew",,"Kline",,1982-09-09,"271-18-1298",,,965641,446667,"FL",,,"black","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
62,5139358,39766906,1404605,,,"Megan",,"Melendez",,1982-09-10,"083-28-4101",,,224229,480453,"FL",,,"white","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
63,2991265,69449003,1252554,,,"Melinda",,"Walker",,1982-09-11,"746-50-1855",,,833657,924369,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
64,5482291,48303011,6936152,,,"Michael",,"Baker",,1982-09-12,"215-88-9272",,,346313,206207,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
65,8228153,35427556,372678,,,"Monica",,"Lucas",,1982-09-13,"571-51-4186",,,298037,747856,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
66,6632978,69625574,9185045,,,"Nicole",,"Andrews",,1982-09-14,"731-47-6749",,,115185,961132,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
